SMILES,active_label
CCCNC(=O)N1[C@H](CO)[C@H]([C@H]1C#N)C1=CC=C(C=C1)C1=CC=C(C(=C1)C(F)(F)F)C(F)(F)F,0
CCCS(=O)(=O)NC1=CC=C(Cl)C(C(=O)NC2=CN=C3NN=CC3=C2)=C1F,0
CCCS(=O)(=O)NC1=CC=C(F)C(C(=O)NC2=CN=C3NN=C(N(C)C)C3=C2)=C1F,0
CCCN1C(=O)C2=C(N=C(N2)C2CCCC2)N=C1OC1=CC=C(F)C(F)=C1,0
CCC1=C(C)N(CCNC(=O)C2C(C3=CC=C(F)C=C3)C2(C)C)N=C1C,1
CCN1N=CC2=C1CC[C@H](C2)NC1=NN2C=CC=C(C2=N1)C1=CC=C(F)C=C1C,0
CN(C)C1=CC=C(C=C1Cl)N1C(=O)CN(CC2=CC=C(F)C=C2)C1=S,0
CN1C(=O)C2=C(N(CC(=O)NC3=CC=C(N=N3)C3=CN=CC(F)=C3)CCC2)C1=O,0
CN1CCC(C)(CC1)C1CN(CCOC2=CC=C(F)C(=C2)C#N)C(=O)C1,1
CN1CC[C@]23[C@H]4OC5=C(O)C=CC(C[C@@H]1[C@@]21C[C@H]([C@@](C)(O)CCC2=CC=CC=C2)[C@@]4(OCC[18F])C=C1)=C35,1
CNC(=O)NC1=CC=C2C(CC[C@@]22OC(=O)N(CC(=O)N(CC3=CC=CC=C3)[C@@H](C)C(F)(F)F)C2=O)=C1,0
CNC(=O)NC1=CC=C2C(CC[C@@]22OC(=O)N(CC(=O)N(CC3=CC=CC=C3)[C@H](C3CC3)C(F)(F)F)C2=O)=C1,0
COC1=CC(=CC=C1N(C)C)N1C(=O)CN(CC2=CC=C(F)C=C2Cl)C1=S,0
CO[C@H]1C[C@@H](C1)OC1=NC(=C(F)C(OC)=C1)C1=CC=C2O[C@@H](CCC(O)=O)CCC2=C1,0
COC1=CC(OC2=NC=C(C)S2)=CC(=C1F)C1=CC=C2O[C@@H](CCC(O)=O)CCC2=C1,0
COC1=CC2=C(NC(=O)CC(=N2)C2=CC=CC(=C2)N2C=CN=C2)C=C1C(F)(F)F,0
COC1=CC2=C(CN(CCC3=CC=C(NC(=O)C4=C5NC6=C(OC)C=CC=C6C(=O)C5=C([18F])C=C4)C=C3)CC2)C=C1OC,0
COC1=CC=CC(OC)=C1[C@@H]1C[C@H](F)C(=O)N1CC1=CC=C(OC(F)(F)F)C=C1,0
COC1=NNC2=NC=C(C=C12)C#CC1=C(F)C=CC(NS(=O)(=O)C2=CC=CC(=C2)C#N)=C1F,0
COC1=NC(F)=C(F)N=C1NS(=O)(=O)C1=CC=CC(Cl)=C1Cl,0
COC1=NC=C(F)N=C1NS(=O)(=O)C1=CC=CC(Cl)=C1Cl,0
CS(=O)(=O)N1CCN(CC1)C(=O)C1=CN=C2C=CC(F)=CC2=C1C1=CC=C(C=C1)C1(CC1)C#N,0
CS(=O)(=O)N1CCN(CC1)C(=O)C1=CN=C2C=CC(F)=CC2=C1N1CCC(CC1)(C#N)C1=CC=CC=C1,0
CS(=O)(=O)C1=C2C(=CC(F)=C1)N1CCC[C@@H](CC(O)=O)C1=C2SC1=CC=C(C=C1)C(F)(F)F,0
CS(=O)(=O)C1=CC=C(COC2=CC=C(Cl)C=C2CN2CCN(CC2)C(=O)CNC(=O)C2CC22CCC(F)(F)CC2)C=C1,0
C[C@@H](NC(=O)C1=CC(=CC(=C1)C(C)(C)O)C1=CC=C(Cl)C=C1)C1=CC=C([N+]([O-])=C1)C(F)(F)F,0
C[C@@H](NC(=O)C1=CC(=CC(=C1)C(C)(C)O)C1=CC=C(Cl)C=N1)C1=CC=C([N+]([O-])=C1)C(F)(F)F,1
C[C@@H](NC(=O)C1=CC(=CC(=C1)C(C)(C)O)C1=CC=C(F)C=N1)C1=CC=C([N+]([O-])=C1)C(F)(F)F,1
C[C@@H](OC1=C(Cl)C=C2C(CCC(O)=O)=NOC2=C1)C1=CC=C(F)C=N1,0
C[C@H](NC(=O)CC1=CC=C(C=C1)C1=CC=C2C=CC=NC2=N1)C1=CC=C(C=C1)C1=CC=C(F)C(=C1)C(F)(F)F,0
C[C@](O)(CS(=O)(=O)C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)C(=O)NC1=CC=C(C#N)C(=C1)C(F)(F)F,0
CC1=C(Cl)C(=O)C(=C(C)N1)C1=CC=C(N=C1)C1=CC=C(C=C1)C(F)(F)F,0
CC1=C(Cl)C(=O)C(=C(C)N1)C1=CC=C(N=C1)C1=CC=C(C=C1Cl)C(F)(F)F,0
CC1=C(Cl)C(=O)C(=C(C)N1)C1=CC=C(N=C1)C1=CC=C(C=C1F)C(F)(F)F,0
CC1=C(Cl)C(=O)C(=C(C)N1)C1=CC=C(N=C1)C1=CC=CC(=C1)C(F)(F)F,0
CC1=C(Cl)C(=O)C(=C(CO)N1)C1=CC=C(N=C1)C1=CC=C(C=C1F)C(F)(F)F,0
CC1=C(Cl)C(=O)C(=C(CO)N1)C1=CC=C(N=C1)C1=CC=C(OC(F)(F)F)C=C1,0
CC(C)C1(C2=C(C)NN=C2OC(N)=C1C#N)C1=CC(=CC(=C1)C(F)(F)F)C1=CC=CC(CCC(O)=O)=C1,0
CC(C)C1(C2=C(C)NN=C2OC(N)=C1C#N)C1=CC(F)=CC(=C1)N1CCC(CC(O)=O)CC1,0
CC1=C(CC(O)=O)C2=CC(F)=CC=C2N1CC1=NC2=CC=CC=C2S1,0
CC1=CC(=CC=N1)C1=NC=C(CNC(=O)C2=CC3=C(C=C2)C2=C(N3)C=CC=C2)C=C1F,0
C[C@H](NC(=O)C1=CC(=CC(=C1)C1=CC=C(C)C=N1)C1=NC=CC=C1F)C1=NN=CN1,0
C[C@@H](NC(=O)C1=CC(=CC(=C1)C1=CC=C(C)C=N1)C1=NC=CC=C1F)C1=CC=C([N+]([O-])=C1)C(F)(F)F,0
